	filename	ATTIRBUTE_sample_type	ATTRIBUTE_timepoint_HRS	ATTRIBUTE_Polarity	biological_replicate	technical_replicate
0	OMICS_MHAE002_MOCK_12HRS_3_Lipid_017_NEG_26Jun17_Polaroid_HSST-T3-A923.mzML	MOCK	12	NEG	MHAE002	3
1	OMICS_MHAE002_MOCK_12HRS_3_Lipid_017_POS_19June17_Polaroid_HSST-T3-A923.mzML	MOCK	12	POS	MHAE002	3
2	OMICS_MHAE002_MOCK_36HRS_1_Lipid_021_POS_19June17_Polaroid_HSST-T3-A923.mzML	MOCK	36	POS	MHAE002	1
3	OMICS_MHAE002_MOCK_36HRS_3_Lipid_052_POS_19June17_Polaroid_HSST-T3-A923.mzML	MOCK	36	POS	MHAE002	3
4	OMICS_MHAE002_MOCK_48HRS_1_Lipid_028_NEG_26Jun17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG	MHAE002	1
5	OMICS_MHAE002_MOCK_48HRS_2_Lipid_010_POS_19June17_Polaroid_HSST-T3-A923.mzML	MOCK	48	POS	MHAE002	2
6	OMICS_MHAE002_MOCK_48HRS_4_Lipid_007_NEG_26Jun17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG	MHAE002	4
7	OMICS_MHAE002_MOCK_48HRS_5_Lipid_015_NEG_26Jun17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG	MHAE002	5
8	OMICS_MHAE002_MOCK_48HRS_5_Lipid_015_POS_19June17_Polaroid_HSST-T3-A923.mzML	MOCK	48	POS	MHAE002	5
9	OMICS_MHAE002_icMERS_0HRS_2_Lipid_019_POS_19June17_Polaroid_HSST-T3-A923.mzML	icMERS	0	POS	MHAE002	2
10	OMICS_MHAE002_icMERS_0HRS_5_Lipid_002_NEG_26Jun17_Polaroid_HSST-T3-A923.mzML	icMERS	0	NEG	MHAE002	5
11	OMICS_MHAE002_icMERS_0HRS_5_Lipid_002_POS_19June17_Polaroid_HSST-T3-A923.mzML	icMERS	0	POS	MHAE002	5
12	OMICS_MHAE003_icMERS_24HRS_3_Lipid_058_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	POS	MHAE003	3
13	OMICS_MHAE003_MOCK_0HRS_2_Lipid_059_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	POS	MHAE003	2
14	OMICS_MHAE003_icMERS_12HRS_3_Lipid_028_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	12	POS	MHAE003	3
15	OMICS_MHAE003_icMERS_0HRS_3_Lipid_016_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	POS	MHAE003	3
