filename	ATTIRBUTE_sample_type	ATTRIBUTE_timepoint_HRS
OMICS_MHAE002_MOCK_0HRS_1_Metab_021.cdf	MOCK	0
OMICS_MHAE002_MOCK_0HRS_2_Metab_001.cdf	MOCK	0
OMICS_MHAE002_MOCK_0HRS_3_Metab_012.cdf	MOCK	0
OMICS_MHAE002_MOCK_0HRS_4_Metab_034.cdf	MOCK	0
OMICS_MHAE002_MOCK_0HRS_5_Metab_037.cdf	MOCK	0
OMICS_MHAE002_MOCK_12HRS_1_Metab_002.cdf	MOCK	12
OMICS_MHAE002_MOCK_12HRS_2_Metab_031.cdf	MOCK	12
OMICS_MHAE002_MOCK_12HRS_3_Metab_041.cdf	MOCK	12
OMICS_MHAE002_MOCK_12HRS_4_Metab_029.cdf	MOCK	12
OMICS_MHAE002_MOCK_12HRS_5_Metab_015.cdf	MOCK	12
OMICS_MHAE002_MOCK_24HRS_1_Metab_014.cdf	MOCK	24
OMICS_MHAE002_MOCK_24HRS_2_Metab_047.cdf	MOCK	24
OMICS_MHAE002_MOCK_24HRS_3_Metab_020.cdf	MOCK	24
OMICS_MHAE002_MOCK_24HRS_4_Metab_003.cdf	MOCK	24
OMICS_MHAE002_MOCK_24HRS_5_Metab_036.cdf	MOCK	24
OMICS_MHAE002_MOCK_36HRS_1_Metab_006.cdf	MOCK	36
OMICS_MHAE002_MOCK_36HRS_2_Metab_040.cdf	MOCK	36
OMICS_MHAE002_MOCK_36HRS_3_Metab_044.cdf	MOCK	36
OMICS_MHAE002_MOCK_36HRS_4_Metab_026.cdf	MOCK	36
OMICS_MHAE002_MOCK_36HRS_5_Metab_019.cdf	MOCK	36
OMICS_MHAE002_MOCK_48HRS_1_Metab_028.cdf	MOCK	48
OMICS_MHAE002_MOCK_48HRS_2_Metab_007.cdf	MOCK	48
OMICS_MHAE002_MOCK_48HRS_3_Metab_013.cdf	MOCK	48
OMICS_MHAE002_MOCK_48HRS_4_Metab_038.cdf	MOCK	48
OMICS_MHAE002_MOCK_48HRS_5_Metab_009.cdf	MOCK	48
OMICS_MHAE002_icMERS_0HRS_1_Metab_024.cdf	icMERS	0
OMICS_MHAE002_icMERS_0HRS_2_Metab_004.cdf	icMERS	0
OMICS_MHAE002_icMERS_0HRS_3_Metab_045.cdf	icMERS	0
OMICS_MHAE002_icMERS_0HRS_4_Metab_048.cdf	icMERS	0
OMICS_MHAE002_icMERS_0HRS_5_Metab_039.cdf	icMERS	0
OMICS_MHAE002_icMERS_12HRS_1_Metab_008.cdf	icMERS	12
OMICS_MHAE002_icMERS_12HRS_2_Metab_032.cdf	icMERS	12
OMICS_MHAE002_icMERS_12HRS_3_Metab_018.cdf	icMERS	12
OMICS_MHAE002_icMERS_12HRS_4_Metab_043.cdf	icMERS	12
OMICS_MHAE002_icMERS_12HRS_5_Metab_016.cdf	icMERS	12
OMICS_MHAE002_icMERS_24HRS_1_Metab_046.cdf	icMERS	24
OMICS_MHAE002_icMERS_24HRS_2_Metab_010.cdf	icMERS	24
OMICS_MHAE002_icMERS_24HRS_3_Metab_049.cdf	icMERS	24
OMICS_MHAE002_icMERS_24HRS_4_Metab_005.cdf	icMERS	24
OMICS_MHAE002_icMERS_24HRS_5_Metab_030.cdf	icMERS	24
OMICS_MHAE002_icMERS_36HRS_1_Metab_025.cdf	icMERS	36
OMICS_MHAE002_icMERS_36HRS_2_Metab_035.cdf	icMERS	36
OMICS_MHAE002_icMERS_36HRS_3_Metab_022.cdf	icMERS	36
OMICS_MHAE002_icMERS_36HRS_4_Metab_042.cdf	icMERS	36
OMICS_MHAE002_icMERS_36HRS_5_Metab_023.cdf	icMERS	36
OMICS_MHAE002_icMERS_48HRS_1_Metab_027.cdf	icMERS	48
OMICS_MHAE002_icMERS_48HRS_2_Metab_011.cdf	icMERS	48
OMICS_MHAE002_icMERS_48HRS_3_Metab_033.cdf	icMERS	48
OMICS_MHAE002_icMERS_48HRS_4_Metab_017.cdf	icMERS	48
OMICS_MHAE002_icMERS_48HRS_5_Metab_050.cdf	icMERS	48
