filename	ATTIRBUTE_sample_type	ATTRIBUTE_timepoint_HRS	
OMICS_MHAE003_MOCK_0HRS_1_Metab_047.D	MOCK	0	
OMICS_MHAE003_MOCK_0HRS_2_Metab_001.D	MOCK	0	
OMICS_MHAE003_MOCK_0HRS_3_Metab_048.D	MOCK	0	
OMICS_MHAE003_MOCK_0HRS_4_Metab_020.D	MOCK	0	
OMICS_MHAE003_MOCK_0HRS_5_Metab_014.D	MOCK	0	
OMICS_MHAE003_MOCK_12HRS_1_Metab_032.D	MOCK	12	
OMICS_MHAE003_MOCK_12HRS_2_Metab_004.D	MOCK	12	
OMICS_MHAE003_MOCK_12HRS_3_Metab_024.D	MOCK	12	
OMICS_MHAE003_MOCK_12HRS_4_Metab_043.D	MOCK	12	
OMICS_MHAE003_MOCK_12HRS_5_Metab_046.D	MOCK	12	
OMICS_MHAE003_MOCK_24HRS_1_Metab_016.D	MOCK	24	
OMICS_MHAE003_MOCK_24HRS_2_Metab_017.D	MOCK	24	
OMICS_MHAE003_MOCK_24HRS_3_Metab_039.D	MOCK	24	
OMICS_MHAE003_MOCK_24HRS_4_Metab_049.D	MOCK	24	
OMICS_MHAE003_MOCK_24HRS_5_Metab_006.D	MOCK	24	
OMICS_MHAE003_MOCK_36HRS_1_Metab_002.D	MOCK	36	
OMICS_MHAE003_MOCK_36HRS_2_Metab_034.D	MOCK	36	
OMICS_MHAE003_MOCK_36HRS_3_Metab_050.D	MOCK	36	
OMICS_MHAE003_MOCK_36HRS_4_Metab_007.D	MOCK	36	
OMICS_MHAE003_MOCK_36HRS_5_Metab_026.D	MOCK	36	
OMICS_MHAE003_MOCK_48HRS_1_Metab_038.D	MOCK	48	
OMICS_MHAE003_MOCK_48HRS_2_Metab_019.D	MOCK	48	
OMICS_MHAE003_MOCK_48HRS_3_Metab_011.D	MOCK	48	
OMICS_MHAE003_MOCK_48HRS_4_Metab_040.D	MOCK	48	
OMICS_MHAE003_MOCK_48HRS_5_Metab_010.D	MOCK	48	
OMICS_MHAE003_icMERS_0HRS_1_Metab_036.D	icMERS	0	
OMICS_MHAE003_icMERS_0HRS_2_Metab_008.D	icMERS	0	
OMICS_MHAE003_icMERS_0HRS_3_Metab_031.D	icMERS	0	
OMICS_MHAE003_icMERS_0HRS_4_Metab_015.D	icMERS	0	
OMICS_MHAE003_icMERS_0HRS_5_Metab_033.D	icMERS	0	
OMICS_MHAE003_icMERS_12HRS_1_Metab_027.D	icMERS	12	
OMICS_MHAE003_icMERS_12HRS_2_Metab_022.D	icMERS	12	
OMICS_MHAE003_icMERS_12HRS_3_Metab_018.D	icMERS	12	
OMICS_MHAE003_icMERS_12HRS_4_Metab_035.D	icMERS	12	
OMICS_MHAE003_icMERS_12HRS_5_Metab_005.D	icMERS	12	
OMICS_MHAE003_icMERS_24HRS_1_Metab_037.D	icMERS	24	
OMICS_MHAE003_icMERS_24HRS_2_Metab_044.D	icMERS	24	
OMICS_MHAE003_icMERS_24HRS_3_Metab_021.D	icMERS	24	
OMICS_MHAE003_icMERS_24HRS_4_Metab_030.D	icMERS	24	
OMICS_MHAE003_icMERS_24HRS_5_Metab_013.D	icMERS	24	
OMICS_MHAE003_icMERS_36HRS_1_Metab_023.D	icMERS	36	
OMICS_MHAE003_icMERS_36HRS_2_Metab_025.D	icMERS	36	
OMICS_MHAE003_icMERS_36HRS_3_Metab_009.D	icMERS	36	
OMICS_MHAE003_icMERS_36HRS_4_Metab_028.D	icMERS	36	
OMICS_MHAE003_icMERS_36HRS_5_Metab_029.D	icMERS	36	
OMICS_MHAE003_icMERS_48HRS_1_Metab_003.D	icMERS	48	
OMICS_MHAE003_icMERS_48HRS_2_Metab_012.D	icMERS	48	
OMICS_MHAE003_icMERS_48HRS_3_Metab_042.D	icMERS	48	
OMICS_MHAE003_icMERS_48HRS_4_Metab_045.D	icMERS	48	
OMICS_MHAE003_icMERS_48HRS_5_Metab_041.D	icMERS	48	
